Date,Product,Region,Units_Sold,Revenue,Salesperson,Channel,Customer_Type
2022-01-01,Almonds,West,37,295.16,Meena,Online,Retail
2022-01-01,Raisins,East,14,218.39,Raj,Online,Wholesale
2022-01-01,Walnuts,West,45,642.71,Anita,Online,Retail
2022-01-02,Pistachios,South,6,32.33,Raj,Offline,Retail
2022-01-02,Cashews,East,41,509.45,Meena,Online,Wholesale
2022-01-02,Cashews,West,3,37.12,Meena,Offline,Wholesale
2022-01-03,Walnuts,West,32,182.2,Anita,Online,Retail
2022-01-03,Walnuts,West,45,307.13,Ali,Offline,Wholesale
2022-01-03,Almonds,West,28,174.01,Meena,Online,Wholesale
2022-01-03,Cashews,West,22,360.3,Anita,Online,Retail
2022-01-04,Cashews,West,27,151.36,Raj,Online,Wholesale
2022-01-04,Walnuts,East,35,269.11,Raj,Offline,Retail
2022-01-04,Walnuts,North,35,619.22,Meena,Offline,Wholesale
2022-01-05,Walnuts,West,17,241.3,Meena,Offline,Wholesale
2022-01-06,Cashews,East,26,366.1,Raj,Offline,Wholesale
2022-01-06,Almonds,North,27,158.49,Anita,Online,Retail
2022-01-06,Raisins,North,41,766.36,Raj,Offline,Retail
2022-01-07,Cashews,North,42,338.58,Ali,Online,Wholesale
2022-01-07,Walnuts,West,45,539.9,Sunil,Offline,Wholesale
2022-01-08,Almonds,West,44,384.26,Anita,Online,Retail
2022-01-08,Cashews,North,27,257.37,Anita,Offline,Retail
2022-01-08,Pistachios,North,39,331.16,Ali,Online,Wholesale
2022-01-08,Cashews,South,30,255.56,Raj,Offline,Wholesale
2022-01-09,Walnuts,West,38,590.89,Sunil,Online,Retail
2022-01-09,Cashews,West,46,880.33,Meena,Offline,Wholesale
2022-01-09,Raisins,North,15,187.03,Raj,Offline,Retail
2022-01-09,Raisins,West,38,354.16,Raj,Online,Wholesale
2022-01-10,Cashews,West,19,337.73,Meena,Offline,Retail
2022-01-10,Walnuts,North,22,170.66,Sunil,Offline,Wholesale
2022-01-10,Walnuts,North,21,326.44,Meena,Offline,Wholesale
2022-01-11,Almonds,West,36,249.08,Meena,Online,Wholesale
2022-01-11,Pistachios,North,13,122.11,Sunil,Online,Wholesale
2022-01-11,Pistachios,North,29,551.49,Meena,Online,Wholesale
2022-01-12,Walnuts,North,5,25.04,Ali,Online,Retail
2022-01-12,Walnuts,West,12,113.42,Sunil,Online,Wholesale
2022-01-12,Walnuts,West,11,164.67,Raj,Offline,Wholesale
2022-01-12,Pistachios,South,35,423.65,Anita,Offline,Wholesale
2022-01-13,Almonds,South,4,47.64,Raj,Offline,Wholesale
2022-01-13,Cashews,South,46,890.26,Ali,Offline,Wholesale
2022-01-14,Raisins,North,7,124.05,Ali,Online,Wholesale
2022-01-15,Almonds,East,18,322.1,Raj,Offline,Wholesale
2022-01-15,Walnuts,North,25,199.4,Raj,Online,Retail
2022-01-15,Almonds,East,49,874.25,Ali,Online,Wholesale
2022-01-15,Pistachios,North,11,219.59,Anita,Offline,Wholesale
2022-01-16,Almonds,South,44,714.1,Meena,Offline,Wholesale
2022-01-16,Raisins,South,7,59.37,Raj,Online,Retail
2022-01-16,Cashews,West,21,168.06,Meena,Offline,Retail
2022-01-16,Pistachios,South,5,95.83,Anita,Online,Wholesale
2022-01-17,Pistachios,West,44,735.97,Meena,Offline,Retail
2022-01-18,Cashews,North,14,131.69,Sunil,Offline,Wholesale
2022-01-18,Cashews,North,18,104.22,Sunil,Online,Retail
2022-01-18,Cashews,South,6,75.93,Meena,Online,Retail
2022-01-19,Walnuts,West,34,631.81,Raj,Online,Retail
2022-01-19,Cashews,East,26,384.52,Sunil,Online,Retail
2022-01-19,Pistachios,North,32,428.65,Ali,Offline,Retail
2022-01-19,Pistachios,East,19,147.02,Raj,Online,Retail
2022-01-20,Almonds,South,17,301.54,Meena,Online,Wholesale
2022-01-20,Walnuts,East,4,51.79,Raj,Online,Wholesale
2022-01-21,Almonds,East,19,270.8,Sunil,Online,Retail
2022-01-21,Cashews,West,29,201.4,Sunil,Online,Wholesale
2022-01-22,Pistachios,East,41,598.94,Raj,Offline,Wholesale
2022-01-22,Walnuts,East,1,15.46,Meena,Offline,Wholesale
2022-01-22,Pistachios,East,26,214.02,Anita,Offline,Wholesale
2022-01-23,Cashews,West,16,179.73,Meena,Offline,Retail
2022-01-24,Almonds,North,27,205.91,Anita,Online,Retail
2022-01-25,Pistachios,South,46,407.76,Sunil,Online,Retail
2022-01-25,Almonds,North,14,180.85,Meena,Offline,Retail
2022-01-26,Walnuts,South,22,392.91,Meena,Online,Wholesale
2022-01-26,Cashews,East,20,190.15,Sunil,Online,Retail
2022-01-27,Cashews,South,5,37.95,Raj,Online,Retail
2022-01-27,Pistachios,East,14,128.86,Meena,Offline,Retail
2022-01-28,Cashews,East,5,87.92,Meena,Online,Wholesale
2022-01-28,Raisins,South,9,104.6,Ali,Offline,Retail
2022-01-28,Cashews,West,3,40.21,Raj,Online,Retail
2022-01-28,Almonds,East,21,391.64,Raj,Online,Wholesale
2022-01-29,Walnuts,East,10,127.56,Sunil,Online,Retail
2022-01-30,Raisins,East,40,264.49,Meena,Online,Wholesale
2022-01-30,Almonds,South,18,112.39,Sunil,Online,Retail
2022-01-30,Walnuts,West,41,209.88,Ali,Offline,Wholesale
2022-01-30,Raisins,North,42,321.73,Sunil,Online,Wholesale
2022-01-31,Raisins,East,2,26.17,Raj,Offline,Retail
2022-01-31,Pistachios,East,2,24.58,Raj,Offline,Wholesale
2022-01-31,Cashews,West,31,290.08,Meena,Online,Retail
2022-01-31,Cashews,East,30,467.61,Ali,Online,Retail
2022-02-01,Almonds,South,26,202.24,Anita,Online,Retail
2022-02-01,Raisins,West,31,280.87,Ali,Online,Wholesale
2022-02-02,Cashews,South,3,43.18,Raj,Offline,Wholesale
2022-02-02,Pistachios,North,36,237.2,Anita,Offline,Wholesale
2022-02-03,Pistachios,South,4,33.11,Raj,Online,Retail
2022-02-03,Walnuts,West,4,44.83,Sunil,Offline,Retail
2022-02-03,Walnuts,East,24,237.63,Raj,Offline,Wholesale
2022-02-03,Walnuts,West,45,877.44,Raj,Online,Retail
2022-02-04,Walnuts,North,17,220.86,Ali,Offline,Retail
2022-02-04,Almonds,West,8,42.8,Meena,Offline,Wholesale
2022-02-04,Almonds,South,12,234.76,Meena,Offline,Retail
2022-02-05,Walnuts,North,47,435.06,Sunil,Online,Wholesale
2022-02-05,Raisins,East,15,190.54,Meena,Online,Wholesale
2022-02-05,Cashews,North,44,261.48,Anita,Offline,Wholesale
2022-02-05,Walnuts,East,32,293.2,Meena,Online,Wholesale
2022-02-06,Almonds,North,36,694.16,Sunil,Offline,Wholesale
2022-02-07,Almonds,East,6,102.39,Meena,Offline,Retail
2022-02-08,Almonds,East,19,268.04,Ali,Offline,Retail
2022-02-08,Almonds,North,19,254.63,Meena,Offline,Wholesale
2022-02-08,Walnuts,North,28,301.23,Ali,Offline,Wholesale
2022-02-09,Walnuts,South,27,217.13,Raj,Online,Wholesale
2022-02-09,Almonds,South,39,704.11,Ali,Offline,Wholesale
2022-02-09,Walnuts,South,31,612.32,Raj,Offline,Wholesale
2022-02-10,Almonds,West,8,116.32,Ali,Offline,Wholesale
2022-02-10,Raisins,West,30,169.42,Meena,Offline,Retail
2022-02-11,Pistachios,West,30,224.96,Anita,Online,Wholesale
2022-02-12,Pistachios,North,3,36.5,Meena,Offline,Retail
2022-02-12,Cashews,South,36,444.19,Sunil,Offline,Retail
2022-02-12,Almonds,South,16,238.44,Anita,Offline,Wholesale
2022-02-12,Cashews,North,12,64.85,Meena,Online,Retail
2022-02-13,Raisins,East,49,953.76,Sunil,Online,Retail
2022-02-14,Almonds,West,22,256.1,Sunil,Offline,Retail
2022-02-15,Cashews,East,34,246.68,Anita,Offline,Wholesale
2022-02-15,Walnuts,South,46,400.14,Anita,Online,Retail
2022-02-15,Almonds,East,44,326.14,Anita,Online,Retail
2022-02-16,Walnuts,South,36,641.17,Meena,Online,Retail
2022-02-16,Almonds,East,49,392.17,Ali,Offline,Wholesale
2022-02-17,Pistachios,South,41,719.67,Anita,Online,Wholesale
2022-02-17,Pistachios,South,9,138.03,Ali,Offline,Retail
2022-02-17,Walnuts,South,4,76.03,Raj,Online,Retail
2022-02-18,Pistachios,East,29,219.37,Sunil,Offline,Wholesale
2022-02-19,Raisins,South,5,40.75,Anita,Offline,Retail
2022-02-19,Almonds,West,23,147.37,Meena,Offline,Wholesale
2022-02-20,Cashews,West,22,136.37,Raj,Offline,Wholesale
2022-02-20,Raisins,South,35,335.77,Meena,Online,Retail
2022-02-20,Cashews,South,49,319.34,Sunil,Offline,Retail
2022-02-21,Pistachios,South,17,264.46,Meena,Offline,Wholesale
2022-02-21,Cashews,East,23,453.12,Ali,Offline,Retail
2022-02-21,Pistachios,West,28,264.69,Meena,Offline,Wholesale
2022-02-22,Raisins,East,32,294.94,Meena,Offline,Retail
2022-02-23,Pistachios,West,10,52.97,Sunil,Online,Wholesale
2022-02-24,Cashews,West,31,513.16,Sunil,Online,Retail
2022-02-25,Almonds,East,34,381.88,Sunil,Offline,Wholesale
2022-02-25,Walnuts,South,30,358.05,Anita,Offline,Retail
2022-02-25,Cashews,North,45,433.06,Anita,Online,Retail
2022-02-25,Walnuts,West,23,239.61,Ali,Offline,Wholesale
2022-02-26,Raisins,West,26,341.71,Meena,Online,Wholesale
2022-02-26,Cashews,East,9,82.14,Ali,Offline,Retail
2022-02-26,Pistachios,East,45,317.51,Raj,Online,Wholesale
2022-02-27,Almonds,West,44,380.4,Meena,Offline,Retail
2022-02-28,Raisins,East,47,511.79,Raj,Online,Retail
2022-02-28,Almonds,West,45,480.88,Ali,Offline,Wholesale
2022-02-28,Almonds,West,3,52.19,Meena,Offline,Retail
2022-03-01,Walnuts,North,28,195.85,Anita,Offline,Wholesale
2022-03-02,Almonds,East,33,412.24,Meena,Online,Retail
2022-03-03,Cashews,East,12,62.53,Meena,Online,Retail
2022-03-03,Walnuts,West,33,408.99,Ali,Offline,Wholesale
2022-03-03,Raisins,West,29,300.61,Raj,Offline,Wholesale
2022-03-04,Cashews,East,11,121.73,Sunil,Offline,Retail
2022-03-04,Pistachios,North,38,736.05,Raj,Offline,Retail
2022-03-04,Pistachios,North,42,419.95,Ali,Online,Wholesale
2022-03-04,Walnuts,East,15,192.08,Meena,Online,Wholesale
2022-03-05,Cashews,South,38,371.31,Ali,Online,Retail
2022-03-05,Almonds,South,19,294.26,Sunil,Offline,Wholesale
2022-03-05,Raisins,South,3,24.2,Meena,Offline,Wholesale
2022-03-05,Raisins,North,39,351.48,Ali,Online,Wholesale
2022-03-06,Raisins,West,9,59.7,Ali,Offline,Retail
2022-03-06,Pistachios,West,21,215.17,Meena,Online,Retail
2022-03-06,Raisins,North,29,538.69,Raj,Offline,Wholesale
2022-03-06,Raisins,North,12,132.35,Sunil,Offline,Retail
2022-03-07,Walnuts,North,13,184.2,Raj,Offline,Wholesale
2022-03-07,Raisins,South,17,183.2,Anita,Offline,Wholesale
2022-03-08,Walnuts,East,35,256.67,Raj,Online,Wholesale
2022-03-09,Cashews,East,21,338.08,Sunil,Online,Retail
2022-03-09,Cashews,South,12,207.18,Raj,Offline,Retail
